"CROSSTAB TITLE : MRI-Simmons_Crosstab"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 04/02/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",1,**,0,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",73,**,0,**,73,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",10,**,3,**,7,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",135,**,38,**,97,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,28.1%,**,71.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,102,**,101,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",14,**,2,**,12,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",154,**,14,**,140,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.1%,**,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,9.1%,**,90.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,33,**,128,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",5,**,2,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",19,**,9,**,9,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,47.4%,**,47.4%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,171,**,67,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",3,**,0,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",15,**,0,**,15,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",1,**,0,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",73,**,0,**,73,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",10,**,3,**,7,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",135,**,38,**,97,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,28.1%,**,71.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_18 - 24)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,102,**,101,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",4,**,1,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",52,**,1,**,51,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,1.9%,**,98.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,7,**,138,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",5,**,2,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",245,**,53,**,192,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,21.6%,**,78.4%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,78,**,110,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",3,**,2,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",46,**,45,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,97.8%,**,2.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,353,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",1,**,1,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",1,**,1,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,100%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,361,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",11,**,7,**,4,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",183,**,139,**,44,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.2%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,76%,**,24%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,274,**,34,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",4,**,1,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",52,**,1,**,51,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,1.9%,**,98.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,7,**,138,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",5,**,2,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",245,**,53,**,192,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,21.6%,**,78.4%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,78,**,110,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",3,**,2,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",46,**,45,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,97.8%,**,2.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,353,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",1,**,1,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",1,**,1,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,100%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,361,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",11,**,7,**,4,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",183,**,139,**,44,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.2%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,76%,**,24%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,274,**,34,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",4,**,2,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",151,**,37,**,114,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,24.5%,**,75.5%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,88,**,106,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",3,**,1,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",28,**,16,**,12,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,57.1%,**,42.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,206,**,60,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$10,000 - $12,499)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",2,**,0,**,2,**
